session,hand_id,small_blind,big_blind,num_players,actions_preflop,actions_flop,actions_turn,actions_river,flop,turn,river
94,94_14_14,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 225, P1:fold, P2:raise 1150, P6:raise 2075, P2:call","P2:raise 1050, P6:raise 7925, P2:call, P6:sm, P2:sm",,,6s 7h 3d,Ts,4h
94,94_15_15,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
94,94_16_16,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:fold",,,,,,
94,94_17_17,50,100,6,"P3:fold, P4:raise 225, P5:raise 700, P6:fold, P1:fold, P2:fold, P4:fold",,,,,,
94,94_18_18,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:raise 681, P1:raise 1875, P2:fold, P5:fold, P6:fold",,,,,,
94,94_19_19,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
94,94_20_20,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:raise 612, P1:call, P2:fold, P3:call","P1:call, P3:call, P6:call","P1:raise 1452, P3:fold, P6:fold",,7d Td Qc,6c,
94,94_21_21,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94,94_22_22,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 235, P2:raise 750, P1:call","P1:call, P2:raise 750, P1:call","P1:call, P2:raise 3000, P1:fold",,8d 6c 2c,7s,
94,94_23_23,50,100,6,"P3:raise 225, P4:fold, P5:raise 700, P6:fold, P1:fold, P2:fold, P3:fold",,,,,,
94,94_24_24,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:fold, P1:fold, P2:fold",,,,,,
94,94_25_25,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
94,94_26_26,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 225, P1:fold, P2:call","P2:call, P6:call","P2:raise 350, P6:fold",,7c Qs Js,3s,
94,94_27_27,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94,94_28_28,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:fold",,,,,,
94,94_29_29,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94,94_30_30,50,100,6,"P3:raise 225, P4:fold, P5:call, P6:fold, P1:raise 1075, P2:fold, P3:call, P5:call","P1:raise 1075, P3:fold, P5:fold",,,Kd 7s 4d,,
94,94_31_31,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:fold, P2:call","P2:call, P6:raise 275, P2:fold",,,Ad 7h Kh,,
94,94_32_32,50,100,6,"P3:fold, P4:raise 225, P5:raise 700, P6:fold, P1:fold, P2:fold, P4:call","P4:call, P5:call","P4:call, P5:raise 1550, P4:fold",,6h 9h 3c,Qd,
94,94_33_33,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94,94_34_34,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:call, P2:call","P1:call, P2:call, P3:raise 225, P1:raise 700, P2:fold, P3:call","P1:raise 2500, P3:call","P1:call, P3:raise 6575, P1:fold",3c Qs 4h,6h,2h
94,94_35_35,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
94,94_36_36,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94,94_37_37,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:raise 850, P2:fold, P6:call","P1:raise 1200, P6:fold",,,3h Th 5d,,
94,94_38_38,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 500, P2:fold",,,4c Tc Ah,,
94,94_39_39,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 225, P1:fold, P2:fold",,,,,,
94,94_40_40,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:raise 700, P1:fold, P2:fold, P5:call","P5:call, P6:raise 500, P5:fold",,,2d 2h 8s,,
94,94_41_41,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:call, P1:fold, P2:fold","P3:raise 300, P6:fold",,,4h 7d 4s,,
94,94_42_42,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:call, P1:fold, P2:fold","P5:raise 112, P6:call","P5:call, P6:call","P5:raise 220, P6:fold",2d 4h Ad,3s,Ks
94,94_43_43,50,100,6,"P3:raise 210, P4:fold, P5:fold, P6:raise 725, P1:fold, P2:fold, P3:call","P3:call, P6:call","P3:raise 500, P6:call","P3:raise 1650, P6:fold",Ts 7c 3d,9s,6h
94,94_44_44,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 300, P2:call","P1:call, P2:call","P1:call, P2:call","P1:call, P2:call, P1:sm, P2:sm",Ks Th 7s,9d,Ac
94,94_45_45,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
